DATE,LREM64TTJPM156S
2002-01-01,68.42349
2002-02-01,68.39568
2002-03-01,68.44327
2002-04-01,68.31983000000001
2002-05-01,68.02658000000001
2002-06-01,68.15191999999999
2002-07-01,68.29821
2002-08-01,68.29385
2002-09-01,68.25468000000001
2002-10-01,68.37941
2002-11-01,68.4622
2002-12-01,68.3152
2003-01-01,68.28468000000001
2003-02-01,68.31429
2003-03-01,68.38818
2003-04-01,68.24495999999999
2003-05-01,68.25241
2003-06-01,68.50533
2003-07-01,68.49181
2003-08-01,68.45705
2003-09-01,68.47100999999999
2003-10-01,68.53061
2003-11-01,68.65524
2003-12-01,68.91304000000001
2004-01-01,68.69204
2004-02-01,68.68533000000001
2004-03-01,68.73340999999999
2004-04-01,68.71316999999999
2004-05-01,68.63651
2004-06-01,68.64763
2004-07-01,68.74651
2004-08-01,68.96956
2004-09-01,68.96691
2004-10-01,69.02239
2004-11-01,68.942
2004-12-01,69.02600000000001
2005-01-01,69.20699
2005-02-01,68.99678
2005-03-01,69.07596
2005-04-01,69.19325
2005-05-01,69.35633
2005-06-01,69.4106
2005-07-01,69.52306
2005-08-01,69.50411
2005-09-01,69.79298
2005-10-01,69.62447
2005-11-01,69.30436999999999
2005-12-01,69.47572
2006-01-01,69.67065
2006-02-01,69.91739
2006-03-01,69.88044000000001
2006-04-01,69.89692
2006-05-01,70.08393000000001
2006-06-01,69.98071999999999
2006-07-01,70.03855
2006-08-01,70.12923
2006-09-01,70.16173
2006-10-01,70.21861
2006-11-01,70.23005
2006-12-01,70.21191
2007-01-01,70.21014
2007-02-01,70.4829
2007-03-01,70.61922
2007-04-01,70.85266999999999
2007-05-01,70.93259
2007-06-01,70.99104
2007-07-01,70.96054000000001
2007-08-01,70.81416999999999
2007-09-01,70.61211999999999
2007-10-01,70.69579
2007-11-01,71.00879
2007-12-01,71.07670999999999
2008-01-01,70.7716
2008-02-01,70.66654
2008-03-01,70.87878
2008-04-01,70.93968000000001
2008-05-01,70.95432
2008-06-01,70.9483
2008-07-01,70.76523
2008-08-01,70.87684
2008-09-01,70.8895
2008-10-01,70.93833000000001
2008-11-01,71.04008
2008-12-01,70.75374000000001
2009-01-01,70.83974
2009-02-01,70.56521
2009-03-01,70.17081
2009-04-01,70.15374
2009-05-01,69.99739
2009-06-01,69.93411
2009-07-01,69.88831
2009-08-01,70.1405
2009-09-01,70.15184
2009-10-01,70.09263
2009-11-01,70.03267
2009-12-01,70.11480999999999
2010-01-01,70.29592
2010-02-01,70.24064
2010-03-01,70.23416
2010-04-01,70.10715
2010-05-01,70.10601
2010-06-01,70.02148000000001
2010-07-01,70.33372
2010-08-01,70.36859
2010-09-01,70.50461999999999
2010-10-01,70.41248
2010-11-01,70.31326999999999
2010-12-01,70.46342
2011-01-01,70.64646
2011-02-01,70.80836
2011-03-01,71.02554
2011-04-01,71.02965999999999
2011-05-01,71.0781
2011-06-01,71.11006
2011-07-01,70.94753
2011-08-01,70.96188000000001
2011-09-01,70.44899000000001
2011-10-01,70.46273000000001
2011-11-01,70.51992
2011-12-01,70.54087
2012-01-01,70.39729
2012-02-01,70.44753
2012-03-01,70.28707
2012-04-01,70.38648
2012-05-01,70.41154
2012-06-01,70.7053
2012-07-01,70.70340999999999
2012-08-01,70.69663
2012-09-01,70.6915
2012-10-01,70.92237
2012-11-01,71.00686999999999
2012-12-01,70.79616
2013-01-01,71.23206
2013-02-01,71.20294
2013-03-01,71.35094000000001
2013-04-01,71.54919
2013-05-01,71.54733
2013-06-01,71.83247
2013-07-01,71.93639
2013-08-01,71.90736
2013-09-01,71.94716
2013-10-01,71.95503000000001
2013-11-01,72.30901
2013-12-01,72.36184
2014-01-01,72.36533
2014-02-01,72.52158
2014-03-01,72.64581
2014-04-01,72.66866
2014-05-01,72.82587
2014-06-01,72.65385
2014-07-01,72.65633000000001
2014-08-01,72.91081
2014-09-01,72.96749
2014-10-01,72.88245
2014-11-01,72.92225
2014-12-01,73.13118
2015-01-01,72.96016999999999
2015-02-01,73.19792
2015-03-01,73.22399999999999
