Exports (Motor Vehicle) Year & Month / Type Jan 1993-Jan 2024
Specific Makes
,Passenger Cars,Passenger Cars,Passenger Cars,Passenger Cars,Trucks,Trucks,Trucks,Trucks,Buses,Grand Total
,Standard,Small,Mini,Total,Standard,Small,Mini,Total,,Grand Total
Apr 2022, 250495, 11889, 8857, 271241, 33271, 2960, -, 36231, 6791, 621735,
May 2022, 154227, 11013, 6649, 171889, 25843, 2085, -, 27928, 6749, 406383,
Jun 2022, 246947, 16716, 4897, 268560, 30975, 3482, -, 34457, 5445, 611479,
Jul 2022, 291919, 13911, 6240, 312070, 35929, 2412, -, 38341, 6546, 707368,
Aug 2022, 234762, 13783, 5664, 254209, 30630, 2346, -, 32976, 6580, 580950,
Sep 2022, 301087, 17594, 5472, 324153, 33294, 3064, -, 36358, 8584, 729606,
Oct 2022, 269963, 15625, 817, 286405, 33661, 3565, -, 37226, 8327, 655589,
Nov 2022, 312054, 18139, 35, 330228, 29303, 2981, -, 32284, 9358, 734382,
Dec 2022, 295029, 20857, 2124, 318010, 30211, 682, -, 30893, 8072, 705878,
Jan 2023, 201611, 19043, 2603, 223257, 25284, 948, -, 26232, 6689, 505667,
Feb 2023, 258353, 14531, 3423, 276307, 27607, 1317, -, 28924, 7972, 618434,
Mar 2023, 312309, 24330, 3275, 339914, 33719, 1248, -, 34967, 9923, 759685,
Apr 2023, 309521, 17235, 688, 327444, 24651, 1155, -, 25806, 10389, 716889,
May 2023, 252601, 14712, 15, 267328, 21970, 1035, -, 23005, 6627, 587293,
Jun 2023, 350221, 17886, 30, 368137, 29915, 2067, -, 31982, 8522, 808760,
